id,name,lat,lon,surveyed_ahd_m,elvis_ahd_m,difference_m,abs_difference_m,dem_resolution,relief_within_ring_m,reading,source,dataset
albert_river_tm,Albert River Tm,-17.8615,139.4081,10.2,6.76,3.44,3.44,50cm,,close,QLD Government,Burketown_2024_Prj_SW_331000_8024000_1k_DEM_50cm.tif
strathbogie_al,Strathbogie AL,-20.1425,147.5631,90.5,87.06,3.44,3.44,50cm,,close,DCCEEW,Burdekin2018-DEM-GRID-0_5_5587772_55_0001_0001.tif
abergowrie_al,Abergowrie AL,-18.4889,145.9364,40.8,44.22,-3.42,3.42,50cm,,close,Griffith Uni,Ingham201310-DEM-GRID-50cm_3877955_55_0001_0001.tif
greenhaven_al,Greenhaven AL,-17.5875,145.5997,847.3,850.72,-3.42,3.42,50cm,,close,Griffith Uni,Atherton201808-DEM-GRID-50cm_3518054_55_0001_0001.tif
ayr_al,Ayr AL,-19.5864,147.3975,8.0,4.6,3.4,3.4,50cm,,close,Griffith Uni,Ayr201804-DEM-GRID-50cm_5417834_55_0001_0001.tif
jandowae_al,Jandowae AL,-26.7794,151.1086,360.7,357.32,3.38,3.38,1m,,close,QLD Government,Jandowae_2010_Twn_SW_310000_7036000_2K_DEM_1m.tif
diamondy_al,Diamondy AL,-26.6333,151.2703,433.6,430.24,3.36,3.36,1 Second,,close,Geoscience Australia SRTM,srtm-1sec-dem-v1-COG.tif
billinudgel_marshal,Billinudgel,-28.5016,153.5268,5.7,2.4,3.3,3.3,1m,,close,NSW Government,Ballina201008-LID1-AHD_5506846_56_0002_0002_1m.tif
goonellabah_wyreem,Goonellabah (Wyreema Rd),-28.8222,153.3175,194.0,190.71,3.29,3.29,1m,,close,CSIRO and NEMA,RichmondRiver2023-DEM-AHD-1m_5306811_56_0001_0001.tif
thomatis_ck_al,Thomatis Ck AL,-16.8514,145.7171,7.0,3.73,3.27,3.27,1m,,close,QLD Government,Cairns_2010_Prj_SW_363000_8136000_1K_DEM_1m.tif
herberton_al,Herberton AL,-17.3769,145.3803,946.8,950.04,-3.24,3.24,50cm,,close,Griffith Uni,Innisfail201308-DEM-GRID-50cm_3278078_55_0001_0001.tif
lorne_br_camden,Lorne Br (Camden,-31.6629,152.6108,31.6,28.36,3.24,3.24,1m,,close,NSW Government,CamdenHaven201208-LID1-AHD_4626496_56_0002_0002_1m.tif
ingham_depot_al,Ingham Depot AL,-18.67,146.1539,16.2,12.97,3.23,3.23,1m,,close,QLD Government,Hinchinbrook_2009_Ctl_SW_410000_7935000_1K_DEM_1m.tif
kerimbilla_tm,Kerimbilla TM,-28.3911,150.4825,226.4,223.17,3.23,3.23,1 Second,,close,Geoscience Australia SRTM,srtm-1sec-dem-v1-COG.tif
menavale_al,Menavale AL,-17.6808,145.8878,128.3,131.53,-3.23,3.23,50cm,,close,Griffith Uni,Innisfail201807-DEM-GRID-50cm_3828044_55_0001_0001.tif
paradise_weir_peel,Paradise Weir (Peel River),-31.1022,150.9375,382.3,379.1,3.2,3.2,5m,,close,NSW Government,Tamworth201602-PHO3-AHD_3026556_56_0002_0002_5m.tif
karara_al,Karara AL,-28.1342,151.5697,444.9,441.71,3.19,3.19,1 Second,,close,Geoscience Australia SRTM,srtm-1sec-dem-v1-COG.tif
wallangarra_tm,Wallangarra TM,-28.9236,151.9289,881.1,877.91,3.19,3.19,1m,,close,QLD Government,Wallangarra_2013_Twn_SW_395000_6800000_1K_DEM_1m.tif
the_pocket_marshall,The Pocket (Marshalls Creek),-28.5047,153.4772,23.1,19.92,3.18,3.18,1m,,close,CSIRO and NEMA,RichmondRiver2023-DEM-AHD-1m_5466846_56_0001_0001.tif
loudoun_br_al,Loudoun Br AL,-27.3278,150.9218,354.5,351.33,3.17,3.17,1m,,close,QLD Government,Surat_CMA_2012_OGIA_SW_294000_6975000_1k_DEM_1m.tif
myola_al,Myola AL,-16.8,145.6119,342.5,339.33,3.17,3.17,50cm,,close,Griffith Uni,Cairns201807-DEM-GRID-50cm_3528142_55_0001_0001.tif
jubilee_pocket_new_t,Jubilee Pocket NEW T,-20.2698,148.7511,7.5,4.34,3.16,3.16,50cm,,close,Griffith Uni,Proserpine201806-DEM-GRID-50cm_6827757_55_0001_0001.tif
rooney_s_br_aler,Rooneys Bridge AL,-19.285,146.8153,4.5,1.34,3.16,3.16,50cm,,close,Griffith Uni,Townsville201804-DEM-GRID-50cm_4807867_55_0001_0001.tif
ballandean_hill_aler,Ballandean Hill AL,-28.7978,151.8303,778.6,781.71,-3.11,3.11,50cm,,close,QLD Government,Dumaresq_River_Catchment_2023_Prj_SW_385000_6813000_1k_DEM_50cm.tif
tara_lagoon_al,Tara Lagoon AL,-27.2742,150.4639,313.0,309.9,3.1,3.1,1m,,close,QLD Government,Tara_2010_Twn_SW_248000_6980000_2K_DEM_1m.tif
chisholm_trail_oak_v,Chisholm Trail Oak V,-19.388,146.8094,83.2,80.12,3.08,3.08,50cm,,close,Griffith Uni,Townsville201305-DEM-GRID-50cm_4797856_55_0001_0001.tif
upper_poison_ck_a,Upper Poison Ck AL,-17.806,144.9594,700.8,697.73,3.07,3.07,50cm,,close,Griffith Uni,Innisfail201308-DEM-GRID-50cm_2838030_55_0001_0001.tif
wongabel_tm,Wongabel Tm,-17.3379,145.4802,767.0,763.93,3.07,3.07,1m,,close,QLD Government,Atherton_2011_Twn_SW_338000_8082000_1K_DEM_1m.tif
bohle_river_al,Bohle River AL,-19.3181,146.7028,17.3,14.24,3.06,3.06,1m,,close,QLD Government,Townsville_2009_Ctl_SW_468000_7863000_1K_DEM_1m.tif
clydesdale_al,Clydesdale AL,-27.1939,151.4864,378.6,375.54,3.06,3.06,1m,,close,QLD Government,MyallCkToowoomba_2014_Prj_SW_350000_6991000_1K_DEM_1m.tif
sarich_s_al,Sarichs AL,-21.2725,148.8203,70.4,73.43,-3.03,3.03,50cm,,close,Griffith Uni,Mackay201308-DEM-GRID-50cm_6887646_55_0001_0001.tif
barrackdale_choke_s,Barrackdale Choke (S,-27.5323,148.7355,226.6,223.58,3.02,3.02,1 Second,,close,Geoscience Australia SRTM,srtm-1sec-dem-v1-COG.tif
kulpi_al,Kulpi AL,-27.1897,151.6994,464.0,461.0,3.0,3.0,1 Second,,close,Geoscience Australia SRTM,srtm-1sec-dem-v1-COG.tif
babinda_post_office,Babinda Post Office,-17.3436,145.9217,17.8,14.81,2.99,2.99,50cm,,close,Griffith Uni,Innisfail201807-DEM-GRID-50cm_3858082_55_0001_0001.tif
turkey_mountain_al,Turkey Mountain AL,-26.3456,150.87,494.2,497.19,-2.99,2.99,1 Second,,close,Geoscience Australia SRTM,srtm-1sec-dem-v1-COG.tif
lower_mt_walker_aler,Lower Mt Walker AL,-27.704,152.551,48.8,45.83,2.97,2.97,1m,,close,QLD Government,Ipswich_2019_LGA_SW_455000_6935000_1k_DEM_1m.tif
cherwell_river_rail,Cherwell River (Rail,-25.2905,152.416,29.5,26.54,2.96,2.96,50cm,,close,Griffith Uni,Bundaberg201801-DEM-GRID-50cm_4417202_56_0001_0001.tif
barakula_forest_stat,Barakula Forest Station AL,-26.4272,150.5044,332.8,329.87,2.93,2.93,1m,,close,QLD Government,Surat_CMA_2012_OGIA_SW_251000_7074000_1k_DEM_1m.tif
caniaview_al,Caniaview AL,-24.785,150.9728,583.8,586.71,-2.91,2.91,1 Second,,close,Geoscience Australia SRTM,srtm-1sec-dem-v1-COG.tif
coulson_crossing_ale,Coulson Crossing AL,-27.9521,152.7271,74.2,71.31,2.89,2.89,1m,,close,QLD Government,ScenicRim_2011_LGA_SW_473000_6908000_1K_DEM_1m.tif
peak_crossing_al,Peak Crossing AL,-27.7806,152.7311,53.1,50.21,2.89,2.89,1m,,close,QLD Government,ScenicRim_2011_LGA_SW_473000_6927000_1K_DEM_1m.tif
sarina_maguire_rd,Sarina (Maguire Rd) AL,-21.4938,149.1249,99.5,96.61,2.89,2.89,1m,,close,QLD Government,Mackay_2009_Rgn_SW_720000_7620000_2K_DEM_1m.tif
cormacks_al,Cormacks AL,-19.4392,146.8464,56.7,59.57,-2.87,2.87,1m,,close,QLD Government,Townsville_2009_Ctl_SW_483000_7850000_1K_DEM_1m.tif
kings_ck_brg_rada,Kings Ck Brg Rada,-28.5621,153.52,6.1,3.24,2.86,2.86,1m,,close,NSW Government,Ballina201008-LID1-AHD_5506840_56_0002_0002_1m.tif
mahrigong_tm,Mahrigong Tm,-22.2322,143.7837,294.0,296.86,-2.86,2.86,1 Second,,close,Geoscience Australia SRTM,srtm-1sec-dem-v1-COG.tif
quay_street_east_ale,Quay St (East) AL,-24.8625,152.3575,10.0,7.14,2.86,2.86,1m,,close,QLD Government,Bundaberg_2011_Rgn_SW_435000_7250000_1K_DEM_1m.tif
back_beach_rd_at_m,Back Beach Rd at M,-16.9314,145.8768,20.2,17.39,2.81,2.81,1m,,close,QLD Government,Yarrabah_2009_LGA_SW_380000_8126000_2K_DEM_1m.tif
rudds_lane_al,Rudds Lane AL,-28.1692,152.9833,97.2,94.4,2.8,2.8,1m,,close,QLD Government,ScenicRim_2011_LGA_SW_498000_6884000_1K_DEM_1m.tif
upper_lonesome_al,Upper Lonesome AL,-24.7369,150.4054,446.2,449.0,-2.8,2.8,1 Second,,close,Geoscience Australia SRTM,srtm-1sec-dem-v1-COG.tif
clovelly_al,Clovelly AL,-26.4764,150.0764,406.3,403.52,2.78,2.78,1m,,close,QLD Government,Surat_CMA_2014_OGIA_SW_208000_7068000_1k_DEM_1m.tif
kenilworth_h_s_al,Kenilworth H/S AL,-26.5803,152.7322,105.0,102.23,2.77,2.77,1m,,close,QLD Government,SunshineCoast_2014_LGA_SW_473000_7060000_1K_DEM_1m.tif
craiglie_tm,Craiglie Tm,-16.5395,145.474,6.0,3.25,2.75,2.75,1m,,close,QLD Government,Cairns_2010_Prj_SW_337000_8170000_1K_DEM_1m.tif
giru_al,Giru AL,-19.5126,147.1115,8.3,5.56,2.74,2.74,50cm,,close,Griffith Uni,Townsville201305-DEM-GRID-50cm_5117842_55_0001_0001.tif
rita_island_al,Rita Island AL,-19.6294,147.4817,11.2,8.46,2.74,2.74,50cm,,close,Griffith Uni,Townsville201305-DEM-GRID-50cm_5507829_55_0001_0001.tif
