ANTENNA_ID,GAIN,FRONT_TO_BACK,H_BEAMWIDTH,V_BEAMWIDTH,BAND_MIN_FREQ,BAND_MIN_FREQ_UNIT,BAND_MAX_FREQ,BAND_MAX_FREQ_UNIT,ANTENNA_SIZE,ANTENNA_TYPE,MODEL,MANUFACTURER
93648,24.5,29,120,,,MHz,,MHz,,Panel(1sector),AEQE_3.48-3.8_120,Nokia
93658,15.7,34,72,,,MHz,,MHz,,Panel(1sector),RRZZVVT4S4-65D-R8 (700),Commscope
93659,16.1,29,63,,,MHz,,MHz,,Panel(1sector),RRZZVVT4S4-65D-R8 (900),Commscope
93660,16.8,32,70,,,MHz,,MHz,,Panel(1sector),RRZZVVT4S4-65D-R8 (1800),Commscope
93661,16.8,32,70,,,MHz,,MHz,,Panel(1sector),RRZZVVT4S4-65D-R8 (2100),Commscope
93662,16.3,31,90,,,MHz,,MHz,,Panel(1sector),RRZZVVT4S4-65D-R8 (2300),Commscope
93663,16.3,31,90,,,MHz,,MHz,,Panel(1sector),RRZZVVT4S4-65D-R8 (2600),Commscope
93664,23,28,105,,,MHz,,MHz,,Panel(1sector),AENB,Nokia
93725,15.6,30,83,,,MHz,,MHz,,Cellular,NHH-85C-R2B (850),Commscope
93726,15.5,30,81.5,,,MHz,,MHz,,Cellular,NHH-85C-R2B (700),Commscope
93789,21.2,31,90,,,MHz,,MHz,,Panel,RRZZVVT4S4-65D-R8_BF_2350,COMMSCOPE
93800,39.4,67,1.8,,,MHz,,MHz,,Parabolic High Performance,SLA0618S03S00A20,Shenglu
93807,52,70,0.38,,,MHz,,MHz,,Parabolic Standard,13001,ViaSat
93826,20.3,28,87,,,MHz,,MHz,,Panel,RRZZVVT4S4-65D-R8_BF_3500,COMMSCOPE
93857,40.8,70,1.6,,,MHz,,MHz,,Parabolic High Performance,VHLP4-11W/A,Andrew
93878,35.3,61,3,,,MHz,,MHz,,Parabolic High Performance,VHLP3-7W/A,Andrew
93907,15.7,29,69,,,MHz,,MHz,,Panel(1sector),RR2VV-6533D-R6_700,cOMMSCOPE
