LICENCE_NO,CLIENT_NO,SV_ID,SS_ID,LICENCE_TYPE_NAME,LICENCE_CATEGORY_NAME,DATE_ISSUED,DATE_OF_EFFECT,DATE_OF_EXPIRY,STATUS,STATUS_TEXT,AP_ID,AP_PRJ_IDENT,SHIP_NAME,BSL_NO,AWL_TYPE
13011827/1,46260,3,304,Land Mobile,Land Mobile System - > 30MHz,2026-03-26,2026-03-26,2027-03-25,1,Granted,13011950,,,,
13018116/1,58050,2,203,Fixed,Point to Point,2026-04-10,2026-04-10,2027-05-04,1,Granted,13018389,20016317_JSMFAC16223,,,
13018117/1,58050,2,203,Fixed,Point to Point,2026-04-10,2026-04-10,2027-05-04,1,Granted,13018390,20016317_JSMFAC16223,,,
13018141/1,84379,2,203,Fixed,Point to Point,2026-04-10,2026-04-10,2027-08-31,1,Granted,13018401,20016317_JSMFAC16225,,,
13018142/1,84379,2,203,Fixed,Point to Point,2026-04-10,2026-04-10,2027-08-31,1,Granted,13018402,20016317_JSMFAC16225,,,
13018143/1,84379,2,203,Fixed,Point to Point,2026-04-10,2026-04-10,2027-08-31,1,Granted,13018403,20016317_JSMFAC16225,,,
13019770/1,20068581,3,302,Land Mobile,Ambulatory System,2026-04-15,2026-04-15,2027-04-14,1,Granted,13019887,1130096_MW133a,,,
13020595/1,20012824,3,304,Land Mobile,Land Mobile System - > 30MHz,2026-04-16,2026-04-16,2027-04-15,1,Granted,13020617,20064714_CTL260-1,,,
13020597/1,20012824,3,304,Land Mobile,Land Mobile System - > 30MHz,2026-04-17,2026-04-17,2027-04-16,1,Granted,13020841,20064714_CTL260-2,,,
13020598/1,20012824,3,304,Land Mobile,Land Mobile System - > 30MHz,2026-04-17,2026-04-17,2027-04-16,1,Granted,13020842,20064714_CTL260-3,,,
13020599/1,20012824,3,304,Land Mobile,Land Mobile System - > 30MHz,2026-04-17,2026-04-17,2027-04-16,1,Granted,13020843,20064714_CTL260-4,,,
13020600/1,20012824,3,304,Land Mobile,Land Mobile System - > 30MHz,2026-04-17,2026-04-17,2027-04-16,1,Granted,13020844,20064714_CTL260-5,,,
13020601/1,20012824,3,304,Land Mobile,Land Mobile System - > 30MHz,2026-04-17,2026-04-17,2027-04-16,1,Granted,13020845,20064714_CTL260-6,,,
